,name,hand,country,birthday,rank,winner,sets,total_pts,service_pts,return_pts,aces,bp_saved,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per,round,date,avg_minutes_game,avg_seconds_point,avg_minutes_set,tournament,year,match_minutes
10,Alexander Zverev,R,GER,1997-04-20,24.0,True,3.0,149.0,93.0,56.0,17.0,12.0,21.0,35.0,92.0,10.0,0.6388888888888888,1st Round,2017-01-17,3.78,36.8,34.8,Australian Open,2017,174.0
11,Robin Haase,R,NED,1987-04-06,57.0,False,2.0,135.0,84.0,51.0,13.0,7.0,23.0,28.0,81.0,11.0,0.5785714285714286,1st Round,2017-01-17,3.78,36.8,34.8,Australian Open,2017,174.0
12,Alexander Zverev,R,GER,1997-04-20,24.0,True,3.0,100.0,67.0,33.0,9.0,5.0,21.0,12.0,55.0,6.0,0.5555555555555556,2nd Round,2017-01-19,4.3,38.2,38.7,Australian Open,2017,116.0
13,Frances Tiafoe,R,USA,1998-01-20,108.0,False,0.0,82.0,50.0,32.0,4.0,4.0,14.0,18.0,55.0,2.0,0.6626506024096386,2nd Round,2017-01-19,4.3,38.2,38.7,Australian Open,2017,116.0
14,Alexander Zverev,R,GER,1997-04-20,5.0,True,3.0,175.0,104.0,71.0,17.0,6.0,38.0,33.0,117.0,14.0,0.7090909090909091,1st Round,2019-05-28,4.96,43.5,49.6,French Open,2019,248.0
15,John Millman,R,AUS,1989-06-14,56.0,False,2.0,167.0,106.0,61.0,0.0,10.0,31.0,30.0,101.0,5.0,0.5706214689265536,1st Round,2019-05-28,4.96,43.5,49.6,French Open,2019,248.0
16,Alexander Zverev,R,GER,1997-04-20,5.0,True,3.0,102.0,63.0,39.0,12.0,3.0,30.0,9.0,58.0,3.0,0.6590909090909091,2nd Round,2019-05-30,4.25,39.4,39.7,French Open,2019,119.0
17,Mikael Ymer,R,SWE,1998-09-09,148.0,False,0.0,79.0,54.0,25.0,0.0,6.0,10.0,15.0,67.0,1.0,0.7204301075268817,2nd Round,2019-05-30,4.25,39.4,39.7,French Open,2019,119.0
18,Alexander Zverev,R,GER,1997-04-20,5.0,True,3.0,135.0,80.0,55.0,18.0,10.0,35.0,20.0,85.0,14.0,0.6159420289855072,3rd Round,2019-01-06,4.26,40.8,36.6,French Open,2019,183.0
19,Dusan Lajovic,R,SRB,1990-06-30,35.0,False,2.0,134.0,76.0,58.0,0.0,11.0,23.0,35.0,92.0,3.0,0.7022900763358778,3rd Round,2019-01-06,4.26,40.8,36.6,French Open,2019,183.0
20,Alexander Zverev,R,GER,1997-04-20,5.0,True,3.0,137.0,89.0,48.0,14.0,7.0,25.0,23.0,96.0,12.0,0.7007299270072993,4th Round,2019-03-06,4.73,39.8,43.8,French Open,2019,175.0
21,Fabio Fognini,R,ITA,1987-05-24,12.0,False,1.0,127.0,79.0,48.0,2.0,8.0,29.0,19.0,82.0,5.0,0.6456692913385826,4th Round,2019-03-06,4.73,39.8,43.8,French Open,2019,175.0
22,Alexander Zverev,R,GER,1997-04-20,3.0,True,3.0,81.0,44.0,37.0,11.0,0.0,20.0,17.0,31.0,0.0,0.5961538461538461,1st Round,2018-05-27,3.14,34.8,23.0,French Open,2018,69.0
23,Ricardas Berankis,R,LTU,1990-06-21,102.0,False,0.0,38.0,30.0,8.0,2.0,5.0,4.0,4.0,44.0,2.0,0.6567164179104478,1st Round,2018-05-27,3.14,34.8,23.0,French Open,2018,69.0
24,Alexander Zverev,R,GER,1997-04-20,3.0,True,3.0,156.0,87.0,69.0,9.0,5.0,30.0,39.0,77.0,7.0,0.5703703703703704,2nd Round,2018-05-30,4.53,41.2,40.8,French Open,2018,204.0
25,Dusan Lajovic,R,SRB,1990-06-30,60.0,False,2.0,141.0,93.0,48.0,0.0,16.0,17.0,31.0,93.0,4.0,0.5740740740740741,2nd Round,2018-05-30,4.53,41.2,40.8,French Open,2018,204.0
26,Alexander Zverev,R,GER,1997-04-20,3.0,True,3.0,165.0,99.0,66.0,8.0,11.0,38.0,28.0,113.0,7.0,0.653179190751445,3rd Round,2018-01-06,4.59,42.9,46.8,French Open,2018,234.0
27,Damir Dzumhur,R,BIH,1992-05-20,29.0,False,2.0,162.0,88.0,74.0,1.0,9.0,45.0,29.0,97.0,4.0,0.6298701298701299,3rd Round,2018-01-06,4.59,42.9,46.8,French Open,2018,234.0
28,Alexander Zverev,R,GER,1997-04-20,3.0,True,3.0,156.0,100.0,56.0,17.0,12.0,33.0,23.0,103.0,4.0,0.6776315789473685,4th Round,2018-03-06,4.35,41.5,41.8,French Open,2018,209.0
29,Karen Khachanov,R,RUS,1996-05-21,38.0,False,2.0,146.0,94.0,52.0,9.0,8.0,27.0,25.0,96.0,4.0,0.64,4th Round,2018-03-06,4.35,41.5,41.8,French Open,2018,209.0
30,Alexander Zverev,R,GER,1997-04-20,41.0,True,3.0,152.0,96.0,56.0,8.0,5.0,19.0,37.0,91.0,6.0,0.6408450704225352,1st Round,2016-05-25,4.27,38.9,47.0,French Open,2016,188.0
31,Pierre Hugues Herbert,R,FRA,1991-03-18,84.0,False,1.0,138.0,92.0,46.0,7.0,8.0,25.0,21.0,76.0,5.0,0.5135135135135135,1st Round,2016-05-25,4.27,38.9,47.0,French Open,2016,188.0
32,Alexander Zverev,R,GER,1997-04-20,41.0,True,3.0,110.0,65.0,45.0,5.0,5.0,13.0,32.0,60.0,2.0,0.6060606060606061,2nd Round,2016-05-26,3.91,38.9,32.3,French Open,2016,129.0
33,Stephane Robert,R,FRA,1980-05-17,90.0,False,1.0,89.0,55.0,34.0,11.0,5.0,13.0,21.0,48.0,7.0,0.48,2nd Round,2016-05-26,3.91,38.9,32.3,French Open,2016,129.0
34,Alexander Zverev,R,GER,1997-04-20,6.0,True,3.0,149.0,74.0,75.0,9.0,2.0,34.0,41.0,79.0,8.0,0.6638655462184874,1st Round,2019-08-27,4.42,41.6,38.0,US Open,2019,190.0
35,Radu Albot,R,MDA,1989-11-11,41.0,False,2.0,125.0,80.0,45.0,3.0,10.0,24.0,21.0,88.0,9.0,0.567741935483871,1st Round,2019-08-27,4.42,41.6,38.0,US Open,2019,190.0
36,Alexander Zverev,R,GER,1997-04-20,6.0,True,3.0,142.0,98.0,44.0,22.0,8.0,26.0,18.0,96.0,11.0,0.6274509803921569,2nd Round,2019-08-29,4.4,40.5,37.8,US Open,2019,189.0
37,Frances Tiafoe,R,USA,1998-01-20,45.0,False,2.0,138.0,83.0,55.0,6.0,8.0,24.0,31.0,89.0,2.0,0.7007874015748031,2nd Round,2019-08-29,4.4,40.5,37.8,US Open,2019,189.0
38,Alexander Zverev,R,GER,1997-04-20,6.0,True,3.0,162.0,105.0,57.0,25.0,4.0,27.0,30.0,105.0,7.0,0.7142857142857143,3rd Round,2019-08-31,4.8,42.8,54.0,US Open,2019,216.0
39,Aljaz Bedene,R,SLO,1989-07-18,80.0,False,1.0,141.0,99.0,42.0,16.0,5.0,21.0,21.0,92.0,3.0,0.5897435897435898,3rd Round,2019-08-31,4.8,42.8,54.0,US Open,2019,216.0
40,Alexander Zverev,R,GER,1997-04-20,4.0,True,3.0,86.0,48.0,38.0,10.0,0.0,17.0,21.0,40.0,2.0,0.625,1st Round,2018-08-28,4.17,41.4,32.0,US Open,2018,96.0
41,Peter Polansky,R,CAN,1988-06-15,119.0,False,0.0,53.0,37.0,16.0,5.0,7.0,7.0,9.0,42.0,4.0,0.56,1st Round,2018-08-28,4.17,41.4,32.0,US Open,2018,96.0
42,Alexander Zverev,R,GER,1997-04-20,4.0,True,3.0,88.0,55.0,33.0,10.0,1.0,13.0,20.0,41.0,3.0,0.5616438356164384,2nd Round,2018-08-30,3.89,43.0,36.3,US Open,2018,109.0
43,Nicolas Mahut,R,FRA,1982-01-21,131.0,False,0.0,64.0,46.0,18.0,5.0,0.0,8.0,10.0,47.0,2.0,0.5949367088607594,2nd Round,2018-08-30,3.89,43.0,36.3,US Open,2018,109.0
44,Alexander Zverev,R,GER,1997-04-20,6.0,True,3.0,138.0,80.0,58.0,6.0,8.0,30.0,28.0,71.0,5.0,0.568,1st Round,2017-08-29,5.0,38.9,56.7,US Open,2017,170.0
45,Darian King,R,BAR,1992-04-26,168.0,False,0.0,124.0,79.0,45.0,2.0,7.0,22.0,23.0,83.0,3.0,0.6058394160583942,1st Round,2017-08-29,5.0,38.9,56.7,US Open,2017,170.0
46,Alexander Zverev,R,GER,1997-04-20,28.0,True,3.0,123.0,73.0,50.0,4.0,2.0,21.0,29.0,64.0,7.0,0.6153846153846154,1st Round,2016-08-30,4.08,40.4,38.8,US Open,2016,155.0
47,Daniel Brands,R,GER,1987-07-17,153.0,False,1.0,107.0,76.0,31.0,7.0,8.0,14.0,17.0,70.0,9.0,0.5555555555555556,1st Round,2016-08-30,4.08,40.4,38.8,US Open,2016,155.0
48,Alexander Zverev,R,GER,1997-04-20,3.0,True,3.0,96.0,53.0,43.0,9.0,0.0,13.0,30.0,43.0,1.0,0.6825396825396826,1st Round,2018-03-07,3.46,36.0,30.0,Wimbledon,2018,90.0
49,James Duckworth,R,AUS,1992-01-21,748.0,False,0.0,54.0,44.0,10.0,8.0,4.0,3.0,7.0,39.0,4.0,0.4482758620689655,1st Round,2018-03-07,3.46,36.0,30.0,Wimbledon,2018,90.0
50,Alexander Zverev,R,GER,1997-04-20,3.0,True,3.0,160.0,104.0,56.0,11.0,6.0,12.0,44.0,100.0,3.0,0.6756756756756757,2nd Round,2018-06-07,3.92,38.5,38.4,Wimbledon,2018,192.0
51,Taylor Harry Fritz,R,USA,1997-10-28,68.0,False,2.0,139.0,95.0,44.0,13.0,11.0,22.0,22.0,83.0,9.0,0.5496688741721855,2nd Round,2018-06-07,3.92,38.5,38.4,Wimbledon,2018,192.0
52,Alexander Zverev,R,GER,1997-04-20,12.0,True,3.0,100.0,71.0,29.0,15.0,2.0,15.0,14.0,69.0,3.0,0.6831683168316832,1st Round,2017-04-07,3.55,35.9,36.7,Wimbledon,2017,110.0
53,Evgeny Donskoy,R,RUS,1990-05-09,98.0,False,0.0,84.0,54.0,30.0,7.0,0.0,17.0,13.0,50.0,1.0,0.6024096385542169,1st Round,2017-04-07,3.55,35.9,36.7,Wimbledon,2017,110.0
54,Alexander Zverev,R,GER,1997-04-20,12.0,True,3.0,88.0,60.0,28.0,11.0,1.0,12.0,16.0,55.0,4.0,0.6547619047619048,2nd Round,2017-06-07,3.32,34.9,31.0,Wimbledon,2017,93.0
55,Frances Tiafoe,R,USA,1998-01-20,64.0,False,0.0,72.0,48.0,24.0,11.0,2.0,12.0,12.0,48.0,4.0,0.631578947368421,2nd Round,2017-06-07,3.32,34.9,31.0,Wimbledon,2017,93.0
56,Alexander Zverev,R,GER,1997-04-20,12.0,True,3.0,96.0,50.0,46.0,4.0,4.0,20.0,26.0,47.0,5.0,0.6619718309859155,3rd Round,2017-08-07,3.29,33.9,30.7,Wimbledon,2017,92.0
57,Sebastian Ofner,R,AUT,1996-05-12,216.0,False,0.0,67.0,46.0,21.0,1.0,8.0,9.0,12.0,53.0,5.0,0.5760869565217391,3rd Round,2017-08-07,3.29,33.9,30.7,Wimbledon,2017,92.0
58,Alexander Zverev,R,GER,1997-04-20,28.0,True,3.0,99.0,58.0,41.0,20.0,5.0,22.0,19.0,58.0,2.0,0.6823529411764706,1st Round,2016-06-29,3.56,33.7,32.0,Wimbledon,2016,96.0
59,Paul Henri Mathieu,R,FRA,1982-01-12,59.0,False,0.0,72.0,45.0,27.0,3.0,3.0,12.0,15.0,48.0,8.0,0.5581395348837209,1st Round,2016-06-29,3.56,33.7,32.0,Wimbledon,2016,96.0
60,Alexander Zverev,R,GER,1997-04-20,28.0,True,3.0,147.0,87.0,60.0,10.0,7.0,35.0,25.0,72.0,10.0,0.5217391304347826,2nd Round,2016-02-07,4.6,43.2,39.6,Wimbledon,2016,198.0
61,Mikhail Youzhny,R,RUS,1982-06-25,70.0,False,2.0,128.0,77.0,51.0,3.0,4.0,14.0,37.0,90.0,2.0,0.656934306569343,2nd Round,2016-02-07,4.6,43.2,39.6,Wimbledon,2016,198.0
62,Alexander Zverev,R,GER,1997-04-20,74.0,True,3.0,168.0,112.0,56.0,19.0,6.0,17.0,39.0,123.0,11.0,0.6721311475409836,1st Round,2015-06-29,0.0,0.0,0.0,Wimbledon,2015,0.0
63,Teymuraz Gabashvili,R,RUS,1985-05-23,53.0,False,2.0,171.0,100.0,71.0,13.0,8.0,34.0,37.0,83.0,9.0,0.532051282051282,1st Round,2015-06-29,0.0,0.0,0.0,Wimbledon,2015,0.0
64,Alexander Zverev,R,GER,1997-04-20,4.0,False,0.0,72.0,50.0,22.0,6.0,14.0,11.0,11.0,56.0,10.0,0.6222222222222222,4th Round,2019-01-21,4.58,42.5,39.7,Australian Open,2019,119.0
65,Milos Raonic,R,CAN,1990-12-27,17.0,True,3.0,96.0,56.0,40.0,15.0,0.0,18.0,22.0,54.0,1.0,0.6923076923076923,4th Round,2019-01-21,4.58,42.5,39.7,Australian Open,2019,119.0
66,Alexander Zverev,R,GER,1997-04-20,4.0,False,2.0,130.0,88.0,42.0,21.0,6.0,24.0,18.0,84.0,5.0,0.6176470588235294,3rd Round,2018-01-20,4.3,43.6,40.4,Australian Open,2018,202.0
67,Hyeon Chung,R,KOR,1996-05-19,58.0,True,3.0,148.0,100.0,48.0,5.0,3.0,24.0,24.0,107.0,3.0,0.7535211267605634,3rd Round,2018-01-20,4.3,43.6,40.4,Australian Open,2018,202.0
68,Alexander Zverev,R,GER,1997-04-20,24.0,False,2.0,149.0,104.0,45.0,19.0,11.0,31.0,14.0,108.0,11.0,0.627906976744186,3rd Round,2017-01-21,5.1,45.7,49.0,Australian Open,2017,245.0
69,Rafael Nadal,L,ESP,1986-06-03,9.0,True,3.0,173.0,105.0,68.0,11.0,5.0,31.0,37.0,113.0,4.0,0.7533333333333333,3rd Round,2017-01-21,5.1,45.7,49.0,Australian Open,2017,245.0
70,Alexander Zverev,R,GER,1997-04-20,83.0,False,0.0,68.0,47.0,21.0,5.0,7.0,9.0,12.0,60.0,6.0,0.6593406593406593,1st Round,2016-01-19,5.33,46.0,42.7,Australian Open,2016,128.0
71,Andy Murray,R,GBR,1987-05-15,2.0,True,3.0,99.0,55.0,44.0,3.0,6.0,23.0,21.0,45.0,2.0,0.5921052631578947,1st Round,2016-01-19,5.33,46.0,42.7,Australian Open,2016,128.0
72,Alexander Zverev,R,GER,1997-04-20,5.0,False,0.0,73.0,47.0,26.0,10.0,5.0,11.0,15.0,58.0,8.0,0.6904761904761905,Quarterfinals,2019-06-06,4.61,45.5,43.0,French Open,2019,129.0
73,Novak Djokovic,R,SRB,1987-05-22,1.0,True,3.0,97.0,60.0,37.0,1.0,7.0,20.0,17.0,55.0,4.0,0.6395348837209303,Quarterfinals,2019-06-06,4.61,45.5,43.0,French Open,2019,129.0
74,Alexander Zverev,R,GER,1997-04-20,3.0,False,0.0,62.0,45.0,17.0,2.0,6.0,9.0,8.0,64.0,4.0,0.7191011235955056,Quarterfinals,2018-05-06,4.4,42.3,36.7,French Open,2018,110.0
75,Dominic Thiem,R,AUT,1993-09-03,8.0,True,3.0,94.0,50.0,44.0,5.0,2.0,30.0,14.0,42.0,3.0,0.6268656716417911,Quarterfinals,2018-05-06,4.4,42.3,36.7,French Open,2018,110.0
76,Alexander Zverev,R,GER,1997-04-20,10.0,False,1.0,123.0,68.0,55.0,8.0,12.0,36.0,19.0,84.0,5.0,0.6614173228346457,1st Round,2017-05-30,4.68,40.7,43.3,French Open,2017,173.0
77,Fernando Verdasco,L,ESP,1983-11-15,37.0,True,3.0,132.0,73.0,59.0,0.0,7.0,34.0,25.0,89.0,5.0,0.6953125,1st Round,2017-05-30,4.68,40.7,43.3,French Open,2017,173.0
78,Alexander Zverev,R,GER,1997-04-20,41.0,False,1.0,113.0,71.0,42.0,6.0,10.0,22.0,20.0,72.0,5.0,0.5950413223140496,3rd Round,2016-05-28,4.33,40.1,42.3,French Open,2016,169.0
79,Dominic Thiem,R,AUT,1993-09-03,15.0,True,3.0,140.0,90.0,50.0,6.0,7.0,23.0,27.0,78.0,2.0,0.5909090909090909,3rd Round,2016-05-28,4.33,40.1,42.3,French Open,2016,169.0
80,Alexander Zverev,R,GER,1997-04-20,6.0,False,1.0,117.0,65.0,52.0,11.0,10.0,28.0,24.0,81.0,17.0,0.6328125,4th Round,2019-02-09,5.22,43.9,47.0,US Open,2019,188.0
81,Diego Sebastian Schwartzman,R,ARG,1992-08-16,21.0,True,3.0,140.0,77.0,63.0,0.0,11.0,31.0,32.0,79.0,1.0,0.6124031007751938,4th Round,2019-02-09,5.22,43.9,47.0,US Open,2019,188.0
82,Alexander Zverev,R,GER,1997-04-20,4.0,False,1.0,115.0,64.0,51.0,9.0,4.0,30.0,21.0,75.0,7.0,0.6410256410256411,3rd Round,2018-01-09,4.97,45.0,47.3,US Open,2018,189.0
83,Philipp Kohlschreiber,R,GER,1983-10-16,34.0,True,3.0,137.0,84.0,53.0,5.0,10.0,30.0,23.0,92.0,3.0,0.6814814814814815,3rd Round,2018-01-09,4.97,45.0,47.3,US Open,2018,189.0
84,Alexander Zverev,R,GER,1997-04-20,6.0,False,1.0,148.0,103.0,45.0,22.0,6.0,24.0,21.0,100.0,7.0,0.6711409395973155,2nd Round,2017-08-30,4.58,41.3,51.5,US Open,2017,206.0
85,Borna Coric,R,CRO,1996-11-14,61.0,True,3.0,151.0,105.0,46.0,5.0,10.0,24.0,22.0,102.0,3.0,0.68,2nd Round,2017-08-30,4.58,41.3,51.5,US Open,2017,206.0
86,Alexander Zverev,R,GER,1997-04-20,28.0,False,1.0,128.0,82.0,46.0,6.0,8.0,21.0,25.0,88.0,9.0,0.6285714285714286,2nd Round,2016-02-09,4.73,41.7,47.3,US Open,2016,189.0
87,Daniel Evans,R,GBR,1990-05-23,64.0,True,3.0,144.0,86.0,58.0,1.0,11.0,30.0,28.0,78.0,6.0,0.5909090909090909,2nd Round,2016-02-09,4.73,41.7,47.3,US Open,2016,189.0
88,Alexander Zverev,R,GER,1997-04-20,82.0,False,2.0,135.0,80.0,55.0,2.0,7.0,32.0,23.0,83.0,10.0,0.5971223021582733,1st Round,2015-01-09,0.0,0.0,0.0,US Open,2015,0.0
89,Philipp Kohlschreiber,R,GER,1983-10-16,29.0,True,3.0,153.0,94.0,59.0,6.0,11.0,25.0,34.0,89.0,4.0,0.5973154362416108,1st Round,2015-01-09,0.0,0.0,0.0,US Open,2015,0.0
90,Alexander Zverev,R,GER,1997-04-20,5.0,False,1.0,106.0,71.0,35.0,24.0,3.0,16.0,19.0,77.0,4.0,0.6814159292035398,1st Round,2019-01-07,3.87,39.2,37.8,Wimbledon,2019,151.0
91,Jiri Vesely,L,CZE,1993-07-10,124.0,True,3.0,125.0,83.0,42.0,7.0,6.0,20.0,22.0,79.0,7.0,0.6694915254237288,1st Round,2019-01-07,3.87,39.2,37.8,Wimbledon,2019,151.0
92,Alexander Zverev,R,GER,1997-04-20,3.0,False,2.0,135.0,86.0,49.0,8.0,1.0,29.0,20.0,80.0,5.0,0.6299212598425197,3rd Round,2018-07-07,4.08,42.3,40.0,Wimbledon,2018,200.0
93,Ernests Gulbis,R,LAT,1988-08-30,138.0,True,3.0,149.0,108.0,41.0,18.0,10.0,22.0,19.0,109.0,8.0,0.6942675159235668,3rd Round,2018-07-07,4.08,42.3,40.0,Wimbledon,2018,200.0
94,Alexander Zverev,R,GER,1997-04-20,12.0,False,2.0,148.0,91.0,57.0,17.0,3.0,30.0,27.0,90.0,7.0,0.6666666666666666,4th Round,2017-10-07,3.98,39.3,40.6,Wimbledon,2017,203.0
95,Milos Raonic,R,CAN,1990-12-27,7.0,True,3.0,162.0,118.0,44.0,23.0,14.0,18.0,26.0,124.0,6.0,0.7085714285714285,4th Round,2017-10-07,3.98,39.3,40.6,Wimbledon,2017,203.0
96,Alexander Zverev,R,GER,1997-04-20,28.0,False,1.0,103.0,73.0,30.0,8.0,4.0,15.0,15.0,86.0,7.0,0.6417910447761194,3rd Round,2016-03-07,4.42,40.9,39.8,Wimbledon,2016,159.0
97,Tomas Berdych,R,CZE,1985-09-17,9.0,True,3.0,130.0,69.0,61.0,13.0,4.0,33.0,28.0,63.0,2.0,0.6363636363636364,3rd Round,2016-03-07,4.42,40.9,39.8,Wimbledon,2016,159.0
98,Alexander Zverev,R,GER,1997-04-20,74.0,False,1.0,123.0,81.0,42.0,14.0,4.0,18.0,24.0,72.0,8.0,0.5454545454545454,2nd Round,2015-01-07,0.0,0.0,0.0,Wimbledon,2015,0.0
99,Denis Kudla,R,USA,1992-08-17,105.0,True,3.0,133.0,82.0,51.0,9.0,7.0,17.0,34.0,72.0,6.0,0.5806451612903226,2nd Round,2015-01-07,0.0,0.0,0.0,Wimbledon,2015,0.0
100,Ronald Agenor,R,USA,1964-11-13,91.0,True,3.0,128.0,76.0,52.0,2.0,7.0,21.0,31.0,85.0,1.0,0.7327586206896551,1st Round,2000-05-29,4.05,38.9,39.5,French Open,2000,158.0
101,Paradorn Srichaphan,R,THA,1979-06-14,92.0,False,1.0,116.0,76.0,40.0,13.0,9.0,28.0,12.0,74.0,7.0,0.578125,1st Round,2000-05-29,4.05,38.9,39.5,French Open,2000,158.0
102,Ronald Agenor,R,USA,1964-11-13,94.0,False,1.0,123.0,89.0,34.0,2.0,10.0,16.0,18.0,88.0,7.0,0.6111111111111112,1st Round,2000-01-17,3.83,36.5,40.3,Australian Open,2000,161.0
103,Max Mirnyi,R,BLR,1977-07-06,67.0,True,3.0,142.0,87.0,55.0,15.0,1.0,31.0,24.0,84.0,6.0,0.6942148760330579,1st Round,2000-01-17,3.83,36.5,40.3,Australian Open,2000,161.0
104,Ronald Agenor,R,USA,1964-11-13,91.0,False,0.0,63.0,30.0,33.0,1.0,7.0,14.0,19.0,48.0,3.0,0.6153846153846154,2nd Round,2000-05-29,4.5,38.3,33.0,French Open,2000,99.0
105,Fernando Vicente,R,ESP,1977-03-08,31.0,True,3.0,92.0,44.0,48.0,6.0,8.0,28.0,20.0,42.0,4.0,0.5454545454545454,2nd Round,2000-05-29,4.5,38.3,33.0,French Open,2000,99.0
106,Ronald Agenor,R,USA,1964-11-13,98.0,False,1.0,126.0,74.0,52.0,8.0,5.0,17.0,35.0,63.0,6.0,0.5121951219512195,1st Round,2000-06-26,3.79,34.0,36.0,Wimbledon,2000,144.0
107,Alexander Popp,R,GER,1976-11-04,114.0,True,3.0,128.0,79.0,49.0,9.0,10.0,20.0,29.0,76.0,8.0,0.5801526717557252,1st Round,2000-06-26,3.79,34.0,36.0,Wimbledon,2000,144.0
108,Gianluca Pozzi,L,ITA,1965-06-17,43.0,True,3.0,136.0,83.0,53.0,15.0,6.0,36.0,17.0,53.0,3.0,0.424,1st Round,2001-01-15,4.76,40.5,44.0,Australian Open,2001,176.0
109,Alex Obrien,R,USA,1970-03-07,249.0,False,1.0,125.0,83.0,42.0,3.0,10.0,10.0,32.0,103.0,1.0,0.7573529411764706,1st Round,2001-01-15,4.76,40.5,44.0,Australian Open,2001,176.0
110,Gianluca Pozzi,L,ITA,1965-06-17,82.0,True,3.0,148.0,90.0,58.0,17.0,11.0,24.0,34.0,62.0,8.0,0.4460431654676259,1st Round,2000-01-17,4.4,39.3,44.0,Australian Open,2000,176.0
111,Tomas Zib,R,CZE,1976-01-31,118.0,False,1.0,121.0,72.0,49.0,2.0,11.0,14.0,35.0,72.0,7.0,0.5538461538461539,1st Round,2000-01-17,4.4,39.3,44.0,Australian Open,2000,176.0
112,Gianluca Pozzi,L,ITA,1965-06-17,49.0,True,3.0,93.0,51.0,42.0,7.0,1.0,13.0,29.0,25.0,2.0,0.3623188405797101,1st Round,2000-08-28,4.36,41.1,36.3,US Open,2000,109.0
113,Christian Ruud,R,NOR,1972-08-24,142.0,False,0.0,66.0,48.0,18.0,6.0,8.0,2.0,16.0,42.0,4.0,0.4666666666666667,1st Round,2000-08-28,4.36,41.1,36.3,US Open,2000,109.0
114,Gianluca Pozzi,L,ITA,1965-06-17,64.0,True,3.0,116.0,78.0,38.0,9.0,5.0,23.0,15.0,63.0,2.0,0.5887850467289719,1st Round,2000-06-26,3.31,33.1,29.0,Wimbledon,2000,116.0
115,Jiri Novak,R,CZE,1975-03-22,45.0,False,1.0,94.0,65.0,29.0,2.0,2.0,13.0,16.0,74.0,3.0,0.7184466019417476,1st Round,2000-06-26,3.31,33.1,29.0,Wimbledon,2000,116.0
116,Gianluca Pozzi,L,ITA,1965-06-17,64.0,True,3.0,112.0,80.0,32.0,19.0,6.0,13.0,19.0,55.0,3.0,0.4910714285714285,2nd Round,2000-06-26,4.55,39.5,47.0,Wimbledon,2000,141.0
117,Alex Obrien,R,USA,1970-03-07,192.0,False,0.0,102.0,70.0,32.0,7.0,5.0,10.0,22.0,63.0,3.0,0.6176470588235294,2nd Round,2000-06-26,4.55,39.5,47.0,Wimbledon,2000,141.0
118,Gianluca Pozzi,L,ITA,1965-06-17,64.0,True,3.0,122.0,72.0,50.0,12.0,8.0,28.0,22.0,56.0,6.0,0.4666666666666667,3rd Round,2000-06-26,4.39,41.9,41.8,Wimbledon,2000,167.0
